sentiment,review_body,product_category
1,Truthfully  i wouldn't have looked twice at this shirt online. i came across it at my local retailer store and i'm so glad i did. the colors are more vivid and beautiful in person. i purchased the small (my normal size) and it hits at the waist.,Blouses
-1,"I bought this online with the intention of it being my graduation dress. i'm 5'2""  115 pounds so i should've known better and gotten a ""petite"" style dress. however  i loved the modern look of this and since my boobs are a bit bigger (34d) i figured they would help fill it out. upon receiving the dress  i was first shocked that for the price  the construction was pretty poor quality: there were strings coming out of the straps and they looked unevenly sewn. when i put it on  it was clear that th",Dresses
-1,I went with my usual size  but it is too tight  it fits  but i would feel uncomfortable in it. i ordered the pink one  which looks nice in the picture  but in person  it looks cheap. the beading at the neckline immediately looked to me like cocktail dresses my grandma used to wear in the 1970s. that beaded neckline added to the cheap look. this one is not for me.,Dresses
-1,I love eva franco   this is a very poor version ! bias seams are puckery... zipper is bubbled   felt great looked like fun but too much if a mess to be fixed.,Dresses
-1,You can adjust this dress a bit with the straps but it's huge! the colors were also a bit grayish which i didn't expect.,Dresses
-1,"I was so excited to receive this dress. i got a petite 4 as i am 5'2"". it was very hard to zip up the side zipper but not impossible. it didn't look good on me. the waist line was a bit too high...maybe a regular would have looked better. also i thought it was a cotton dress but it isn't. also i looked like i was going to a nordic folk festival to do a traditional dance. i had been so excited to receive this but sadly it just didn't work for me and i had to send it back.",Dresses
-1,I wanted to love this dress because the fabric is fun  but i could not find a way to make the drawstring waist look like anything but a potato sack.the model has her hands hiding the lack of a waistline,Dresses
-1,I have always bought interesting  pretty  wearable dresses for my daughters at retailer. now the dresses are just retro funky. sad to see.,Dresses
-1,I am a sucker for a peasant dress. i love anything i can toss with a pair flats and head out the door  but this dress is ridiculous. i look like a schoolmarm. the white bib collar takes this dress into costume territory. i love one september and have many items from the brand that i wear regularly  so i'm bummed that this wasn't what i expected. i knew it would have flow  but it's more billowy than i wanted. stay away unless you want to look like a little girl on the first day of school.,Dresses
-1,This dress has a great shape and fabric - but the v neckline is too deep/low and the arm holes are also cut too low. would loved to have been able to keep it but had to return.,Dresses
0,"I am 5'-7"" and 135 lbs  i bought a medium petite as i wanted the dress to hit at my knees  instead of midi. this dress is easily 2 sizes bigger than expected. the pattern was not flattering on my although i'm sure it would be for others. i was happy with the length...",Dresses
0,I love the look of this dress and the material - the problem is that when i tried it on the fit was a bit off. it seems that the arm holes hung down way too much and pulled the dress so it is uncomfortable to wear. i don't think i could have gone down or up a size to make this dress work. it is a shame because i really liked the look of it.,Dresses
0,First of all  the colors are really pretty  fabrics feel really nice. but.... the fit was no bueno. i think if you are tall and small chested  this dress would look great. but i'm short and large chested and it was very unflattering. when the fabric transitions from the stripes to solid  it doesn't hang nicely due to my chest. sadly this is a return for me.,Dresses
0,Yummy  soft material  but very faded looking. so much so that i am sending it back. if a faded look is something you like  then this is for you.,Dresses
0,I ordered my usual size 8 but this run huge  i had to exchange for 6 or even size 4. the fabric is nice and airy. it seems to easily wrinkle though. just have to either iron everytime or dry clean i suppose. unique design.,Dresses
0,I really liked the color and style of this dress  but the proportions were off. the top was too small and the waist was too large. if you are more uniform in size/shape and less of an hourglass this dress may be perfect for you!,Dresses
0,This dress is a good casual summer dress. the material is thin and feels nice on. the dress was very wrinkled when it arrived but that came out very easily and the fabric doesn't really wrinkle easily after initial wash and steam. the color is very vibrant and the fit is loose. however  if you have a larger chest (i'm a 34c)  the hook and eye closure dones come undone. overall a good purchase. it looks good with a belt as well.,Dresses
0,I saw this dress in the store and absolutely fell in love with the fabric and just had to have it. i ordered it on line in my size and when it arrived  i tried it on (or tried to try it on) and it didn't fit some parts of my bday (mainly in the bust). i ordered the largest size  so there was no where to go from there except to send it back. others here have complained about a strange fit in the tummy area (i.e.  too much material). i never got to find out because i really couldn't get the dress,Dresses
0,This dress arrived with a black rope belt and belt loops. i did not see this in the photo. i thought it was a throw-on-and-go dress  not a belted dress. this  in addition to the weird sizing  caused me to return it. i am a size 4-6 in dresses and the size small i ordered was skin tight and bunched at the hips.,Dresses
1,"Love love love this jumpsuit! normally i stay away from jumpsuits because i hate to have to completely undress to use the bathroom  but this was too cute to pass up. fits great  extremely flattering to my athletic build  super comfy. it sort of looks like a maxi-dress due to the wide legs. length was perfect. i am 5'3"" and did not have to hem it.",Dresses
1,I'm not a big fan of rompers but love this one. it is very flattering and comfortable. i love that you can dress it up with some heels and accessorizes or more casual with flats.,Dresses
1,If you're not a petite and are reading this  read on :) i'm always on the lookout in the petite section because many times us fuller girls can fit into these.   ________  pros:  - tts for me. i'm normally a size 10/12 (m/l) in the regular sizes. i tried on the 12p and it fit everywhere perfectly  especially at the bust in which i'm a 36c.  - fabric is on the thicker side  but that's what gives it this adorable shape  besides already being fit-and-flare.  - pockets :) i always lean towards dresse,Dresses
1,I wore this dress for the first time yesterday... i have never received so many compliments on a dress before! several people even stopped me in the streets of nyc to tell me how beautiful this dress was!  it is an absolute must-have!,Dresses
1,As soon as i saw this dress online  i knew i wanted it!  i was immediately drawn to the belled sleeves and lace embellishment along the neck/shoulders.  i ordered online  and was so happy with the fit and quality of the dress.  i am 5'5 and it hits just an inch above my knee.  it's the perfect little black dress for a fun date night or an event!,Dresses
1,Love this dress! the other reviews were accurate. it is a lot of fabric and i can't decide whether i will actually use the belt that it came with. but i think it would be a great  beachy dress for the summer.,Dresses
1,Comfortable  relaxed fit. i am very top heavy and the generous cut of this dress worked well!,Dresses
1,"This dress is so beautiful. i am 50 5'8"" and smaller on top larger on bottom. size 6 is perfect! was worried that it would hit me in all the wrong places. happy to say it does not. wore it for the first time yesterday and no lie i received no less than 15 compliments from strangers. just walked up to tell me how great the dress was. colors are so soft and beautiful. would buy in other colors if they had it. i can see myself wearing it to a casual dinner  to a wedding our just to feel special on",Dresses
1,This dress is so soft and comfortable. great winter staple. i purchased the blue motif  which really doesn't have any blue on it. the stripes are fun and make this the perfect dress to throw on and feel great while staying comfortable.,Dresses
-1,"Wanted to love this sweater for its beautiful colors and cute graphic  but the fit is uncomfortably small and it is so itchy i was yelling  ""get it off"" in the fitting room. bummer.",Fine gauge
-1,Based on the strength of the other reviews  i thought this sweater would be amazing  but i was disappointed. the knit is very thin  cheap looking and weak that it won't last a season undamaged. it reminds me of a duster i bought 15 years ago at a discount fast-fashion retailer when i was a student. sloppy looking with lots of creases out of the package. collar is odd and the sleeve openings have an annoying flare. the drape is not structured enough--everything about this screams over priced bath,Fine gauge
-1,I read the existing reviews  before purchasing  and a few mentioned that this sweater ran large. this has been my experience with most tops i have purchased from retailer. i figured by ordering a medium  i would receive a slightly loose to moderately loose fitting sweater. this was not the case! the sweater is short  does not look anything like it does when you view the model from behind (and i assume the model is taller than i...as models are usually tall). for reference  i am 5'6''  medium build,Fine gauge
-1,Note the sleeves on the model. that is how your regular size will fit your arms. however  even if you have skinny arms like i do  the sleeves will be tight. i bought my regular size xs and it was clingy with an odd flair and the length seems as though i ordered a petite and i am only 5 ft 2 in. i advise to try a few sizes on if you really are interested. the red is truly a red which is a good thing because so often it is hard to find a red that is not neon.,Fine gauge
-1,I was expecting elbow-to-full-length sleeves and like a previous review noted  they were short. very weird look for a wrap. returned.,Fine gauge
-1,"The color of the sweater is beautiful  but the fit was awful. it was too ""swingy"" and made me look like i gained 10lbs instantly  (i'm 5'1""  108lbs). i will be unfortunately returning this item.",Fine gauge
-1,Seemed pretty shapeless which surprised me because of the design. perhaps it was just too big. returned it.,Fine gauge
-1,It's thin knit with a unique and pretty neckline  but unfortunately it's scratchy will not last. i just received it and it looks like it would fall apart after a few wears. it's a nice shade of offwhite at least. for me it's a no that will get sent back straight away.,Fine gauge
-1,This sweater was not as featured in the picture. the front is completely cropped while the back is regular length. the front barely reached the middle of my stomach. also  the color was not as vibrant as shown in the picture. this sweater will be going back.,Fine gauge
0,I'm on the fence about this one. it is pretty,Fine gauge
0,So when i saw a sweater with a big llama face on the front of it  i knew it must be mine. i ordered it and eagerly awaited its arrival. while the llama print and color of the sweater are ah-mazing  the fit of the sweater leaves something to be desired. i'm a 36 dd and mostly a size l  so that's what i ordered. it wasn't snug  but it didn't have the cut to pull off the oversized drapey look  so the areas where it was loose looked...strange. the sleeves were really long too  but i could have rolle,Fine gauge
0,This is a relatively cute top when you try it on. however  i don't think it will hold it's shape after even just 1 wear. it also doesn't seem like you could wash it without ruining it (like a shirt form a 'throw-away' cheap clothing store). i checked the fabric tag and it is a very high % viscose - meaning  it won't last long at all. i'm returning and feel frustrated with how cheap the fabric is.,Fine gauge
0,Loved this top  but had to return it. the collar is gorgeous but terrible quality,Fine gauge
0,It's just ok. very thin and feel like it might say and stretch. color is very nice but much thinner and sheer we than what i wanted.,Fine gauge
0,I didn't realize it had a tie around the waist. it seems too much material hanging in the front to tie at the waist. unfortunately the sash is attached and cannot be removed. it's very cute; just not for me.  i will have to return (but sure i can find something else)!,Fine gauge
0,I bought three of these this summer--a mint  ivory  and yellow. when i received them  they looked nice enough in person. i liked the heart motif and the peplum. the problem is the knit was on the cheap side and stretched out. the arms were tighter than i liked but loosened up through the day. but  then the look became more matronly. i wish they had been 3/4 length or a vest. the cheap  outstretched look just didn't work. i ended up donating all of mine after a few wears. they also pilled conside,Fine gauge
0,This sweater is much more cropped than shown. the sweater i received was only 24 inches long. the color of the trim is black  not the navy or plum that i expected. quality does seem good.,Fine gauge
0,I so wanted to keep this sweater but the invisible metallic threads that give the sweater its crinkled appearance are super scratchy and irritating. it definitely requires a long sleeved top to prevent the irritation as shown in the online photo. it is lightweight and i planned to wear it over sleeveless summer tops/dresses. i have averaged size arms and there was plenty of upper arm room. in fact extra room is designed into the sleeves. one plus for those with upper arm fit concerns. the lower,Fine gauge
1,"This is the cutest sweater. i bought it today in black. i cannot wait to wear it. it is a lovely  distinctive knit & just the right weight to layer as shown with a white blouse or with a turtleneck. i tried both the xs and s; and i decided to go with the s as it still emphasized that i have waist  but i could layer it nicely. i am 5'4""  130 lb. you can always count on angel of the north for great style.",Fine gauge
1,I love this sweater! i ordered the dark gray and wasn't expecting fabulous but that's what i got. the skirt below the waist tie is actually pleated so that it falls perfectly. the seaming detail is beautiful. i am between a size large and extra large and the extra large fit perfectly. the sweater is short  half way down my hips but looks good over a long tank. this a medium weight knit and will be wearable all year with skirts  dresses and any kind of trousers. this is one of my favorite purchas,Fine gauge
1,"This 'poor boy' mock t-neck/high crew neck top looks a tiny bit more olive to me than the online photos. the fit runs on the smaller size  and the sleeves will be bracelet length or 3/4 length for taller women. . i tried a size xs that was in the store and it fit with the sleeves just above my wrists  but a size s would have been fine too (i'm 5'2""  currently 33-25-37  narrow shoulders and torso).for reference  even the size m of the short sleeve version fit fine  so there is a lot of give. . no",Fine gauge
1,Have had a hard time finding comfy dresses appropriate but not too long for my 15 year old daughter. purchased this tunic in a regular xs and she loves it! she wore today with suede booties-very soft  cute and longer than many dresses sold for teens. she initially thought it was a winter sweater dress but i explained it is mostly cotton and would be a great transitional piece for spring and fall.,Fine gauge
1,"Look carefully at the pics of the back. if this style and the color suit you  just go ahead and order this one. it looks just like the pics  and is light  comfortable and true to size. the kind of top you can throw on when you are in a hurry and look great. however  because the back is sheer from halfway down  maybe not for work if you work in an office. moth is one of my favorite brands at retailer and this one is easy-peasy. i am 5'3""  34c/28/38 and ordered the regular s.",Fine gauge
1,Love this sweater! it can be used for both work and casual wear with ease. very soft and seems durable. i highly recommend it!,Fine gauge
1,This sweater is beautiful and looks exactly as pictured in terms of fit  length  and color. the fabric is super soft and not at all itchy - feels soft like a boucle type knit. the sleeves are 3/4 length and the weight is maybe a medium-weight (not super warm). i wouldn't see this taking me too far into a northeastern winter  but for right now it's perfect!! fit is tts :),Fine gauge
1,Comfy and lightweight - beautiful blue color. sleeves are a bit long but not a bother to me.,Fine gauge
1,Fits true to size and rides the line between contemporary and retro exceptionally well.,Fine gauge
-1,You have to be a contortionist to get this bra on. it slips over your head and i needed my 8yo daughter to help me pull it down past my elbows. ridiculously impractical. why oh why didn't heather give it a hook and loop closure instead?,Intimates
-1,This bra runs very small  and is hard to get on and off. i think if i went a size up i would be happier.,Intimates
-1,Fun  sexy underwear but rides up in the front. will return,Intimates
-1,I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay  but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store  i would have passed over it. however  i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies  though!,Intimates
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
-1,"Got this in the sky color. returned it because the top is way too sheer for me  if you know what i mean. i wanted a pretty gown i can wear without a robe in front of my kids. no can do. also  for the price  material just felt flimsy & cheap. it does run small ~ the medium was good on me and i'm 5'2""  114#  34b",Intimates
-1,Material is strange. triangle top is funky. this is just not awesome in any way.,Intimates
-1,This could have been an amazing chemise but it is too short even for bed- perhaps it could be used for a tank. i am 5'3 but do have a long torso. it did not fully cover my booty.,Intimates
-1,"Loved how this draped and im super petite 5'1""(32b bust) and this was seriously one of the most ill fitting items i have every owned. i purchased the pxs and it was huge. i hope this has a better fit as the other reviewers seem to have a more positive review. i was just appalled as to how bad the measurements were off. unfortunately the straps are not adjustable so this went below my chest. too sad retailer  please get the fit right!!",Intimates
0,Got this in the mail today and while the design is cute  it's not as soft and comfortable as i would like. the front clasp takes a bit of practice to get on and off. the straps are a bit thin and hurts a bit.,Intimates
0,As a petite  big busted woman  i found this dress wildly unflattering. the quality and pattern of the dress itself is beautiful  though it will require a slip as it is completely transparent. the design of the bust however  i found unflattering.,Intimates
0,I wanted to love these because they are so pretty and come in lots of colors  but after only a few minutes of wearing them  i was having to pull them out of my bottom! why does women's underwear so frequently ride up? i normally wear a size 4/28  and ordered these in a m  but i guess they were still too small  which seems unreasonable to me. they are soft and pretty  but i will not be ordering more.,Intimates
0,I wanted to love this set  but sadly it just didn't fit as i had hoped. the small was bigger than expected and looked frumpy and not sexy. returned.,Intimates
0,I ordered this in black and white  thinking you can never have enough silk camisoles.     i returned the black because it looked like polyester. the white is actually a cream/ivory  not bright white as pictured. it is also not the best feeling quality  however the fit is good  and true to size.,Intimates
0,I really was looking forward to this piece but unfortunately it was too small to even pass through my head nevertheless i couldn't even get both arms in. i got a size small and probably needed a large; but as far as the quality and color  it's really pretty! just go up a size or two if anything and try it out.,Intimates
0,I'm a 32-a  and i bought a small. i found that the tube portion is pretty tight  but probably needed to keep things up. because there is not a clasp in the front or back  it is really hard to get in and out of. i'd probably be ok with it  but the cups were too big for me. i think i would need to be a c to fill it.  the quality is really nice and the molded cups are a good shape. i wish i could have made it work  because it was really comfortable. i returned it in the end.,Intimates
0,It is a very pretty bra. light weight and beautiful lace. however  i have yet to find a t-back that does not make me feel like i am going to spill out. to me it ran small. i now know to get a 34 instead. i am working on losing weight  perhaps that might help with the fit?,Intimates
0,I'm a b-cup who hates traditional underwire bras  so i was excited to try this one out. while i appreciate that this bra has more structure and support than other wireless comfy bras  the cups provided too much coverage for my style. if you want to wear a shirt with a wide neck  or do a cute off-the-shoulder thing with your shirt  the top of the cup shows. bummer!,Intimates
1,This is a tts cami that should be a staple in everyone's closet. great for layering.,Intimates
1,This bra is everything. looks good and feels good. so happy with this purchase. for reference  i am a c cup and got a medium. i do have a little side boob action happening but i'm still happy with the fit of the medium,Intimates
1,I knew when i bought this bralette that there was something special about it...the intricacy of the design is really pretty as is the style...but seriously - every single time i wear this bralette out (paired with a cute top or dress) i get tons of compliments from all of my friends. i never thought a bralette would spark so much conversation! aside from that it is super durable...i've had it for a year now  have washed it several times  and it is not stretched out at all or frayed aka it is gre,Intimates
1,This bra is very cute and pretty comfortable. i usually wear between a 34d in elle mcpherson and this fit perfect. i got it in black and while it's really cute i was surprised how different the color looked in person vs. online. online it looked to me to have some purple to it  but it is definitely 100% black in person (just an fyi). i also thought the tassel was cute  but it does look a little cheap and flimsy in person. still a great bra.,Intimates
1,Yes  this is a thinner bra  it's almost sheer when you hold it up to the light  but it fit perfectly (36d) and is seamless under even the thinnest tops. i love that its not padded  i feel like it just slightly enhances my natural shape without adding anything more  and i really wish i had bought multiples before they sold out! i can't speak to how it will hold up since i just got it yesterday and i'm wearing it for the first time today  but i'm keeping my fingers crossed that it will last as wel,Intimates
1,I ordered this bra in my normal size 32d  and it fits me perfectly. this bra is beautiful. the material seems to be very high quality  and the comfort of this bra is amazing. it's definitely a keeper.,Intimates
1,I own many of the natori feathers back close bras and decided to try the front close version for spring/summer tops and dresses. i purchased the yellow and got the matching hipsters panty. i no longer see the yellow available but you could find elsewhere or maybe retailer will bring this color back (it is lovely!)? for sizing  i tried my normal size (34b) and the cup size larger per other reviews. the 34c did end up fitting better so i also recommend going up a cup size. excited for warmer weather,Intimates
1,Cute little sleep mask! the elastic band is wide so it doesn't ever feel like it's digging into your head. does a very good job keeping out light.,Intimates
1,A great long line bra! beautiful and well made however it's tough to get the fit perfectly right. i usually wear a 32 b or 34 a and am 115lbs. the small was the best fit as the 32 (xs) was a very small 32. i could almost say it more of a 30 if that's even a size. it also rubs my skin few places so definitely not meant to be worn for more than a few hours. otherwise i recommend it!,Intimates
-1,Even at a very deep discount  this piece is definitely not worth the money. the picture made me think this jacket had a longer curved velvet hem as part of its design (which would be cool)--which is largely what attracted me to it  but as i discovered when it arrived  that was actually part of the shirt worn beneath in the photo. so this image is rather misleading. the actual jacket is very thin--more like a shirt with an open front than a jacket. the pockets are just loosely tacked inside. for,Jackets
-1,"I have been looking for an off-white vest and thought this one would be perfect  except it is going back. i am 5'9"" 150 lbs. medium is my normal top size  but this medium was tight even though the design looks relaxed in the picture. no buttons  so no way to close it. unlined and the design and fabric look more casual than the photo. not worth the price.",Jackets
-1,This is so close to perfect  but there's a seam down the middle of the back and they didn't bother to match the polka dots. you can see the mismatch in the second photo. i was about to buy the jacket  and totally in love  when i turned and saw the error. i hoped it was one bad match  but nope  on every one. couldn't unsee  didn't buy. very disappointed.,Jackets
-1,The fabric of this vest is identical to a old white dish cloth! the cut of this vest is also bad! will be sent back!,Jackets
-1,Love the idea of this top  but it is so thin and the sequins look so cheap. the quality reminds me of something you would buy for $20 at a market abroad. definitely disappointed with the quality for the price. will be retuning.,Jackets
-1,I feel in love with this piece. the color are gorgeous and i received so many compliments. it lifted my mood just wearing it! sadly  ut the end of the first wear i had a run up the front and by the middle of the second wear the light fabric got caught on something and a hole developed. upon further inspection i found another hole at the top where the price tag must have been attached. i also noticed all over pilling after the first wear! so sad! they should recreate this in a heavy fabric.,Jackets
-1,I purchased this jacket in my local store. size 10 and runs really small . i love the color combination and design but the fabric in my opinion is poor quality. i have seen a lot of retailer use this poly spun knit in so much of their items and the jacket after bringing it home and looking in the light was already showing pilling. looks like it is worn in an bad way. returned the next day. this was a big disappointment and every time i see this fabric being used in retailer clothes it makes me mad.,Jackets
-1,I wore this blazer for one day  didn't do anything strenuous  and the fabric started to disintegrate along the back  next to the center seam. it's completely unfixable  since it's not the seam that split but the fabric itself. what a waste of money.    as to the fit  it is a boxy cut through the waist. it looks better unbuttoned than buttoned. the jacket also shows a lot of the shirt you have under it  so it's good over something cute.    or  it would be  if it didn't fall apart.,Jackets
-1,This jacket is just too small for me anyway and i am no way big. i am tall and athletic and this thing looked like it had shrunk in the wash. there are so many better fitting other types out there  this went back,Jackets
0,It is indeed cut to the shape of a trench. however  i think retailer should rename it as it's more like wearing a cardigan. it's soft and pretty which i like. however  i wasn't convinced to buy it since i have a gazillion long black cardigans already made out of the same jersey stretch material.,Jackets
0,The jacket was nice and soft but it was too short on my torso with a cropped fit which i'm not a fan of that style. i returned it.,Jackets
0,This is super cute and the colors are so vibrant and its thin enough to wear with tanks for the summer but it already had a hole forming in the upper back shoulder.  i guess the material was a little too thin....$98 is a little too much money for something that gets holes so easily!,Jackets
0,Well made but strange fit. the medium was long and narrow  waaay too small.,Jackets
0,The color and design/style are cute but i found this to be too oversized. if you want to layer it  then it might be for you  but i was hoping for more of a tailored look.,Jackets
0,I ordered two of these  the grey and ivory. i have had great luck with jackets and blazers from retailer. these were the exception. i just could not pull them off. the quality was great but they had little shape except being a bit boxy. i do have wider hips. maybe these would look better on someone tall and thin? for reference  i am 5'6 and about 138lbs. i ordered smalls and the sizing was perfect for me  the style was just off. i had to return both.,Jackets
0,I had such high hopes for this jacket based on the photo  i even waited for it to come back in stock. the detail is beautiful but it is shapeless and boxy. for reference i ordered xs  and i am usually a 0/2 on top (small chested). it might look better on someone with a larger chest but looked like a sack on me. so disappointing.,Jackets
0,"This vest looked so cute online. what you can't see however  is the vertical seaming under the arms does not have any fringe (about 3"" wide). that material in the seaming area looked like cheap polyester and it pulled slightly near the side pockets so it didn't lay nicely. also the top of the vest where it comes together also does not lay well and it falls awkwardly open - again showing the cheapy material that it's lined with. fits true to size. i usually wear a s/m in retailer and purchased the",Jackets
0,This jacket was too wide and the length in the arms too short. i wear a medium in almost any article of clothing and felt like i was swimming in a short little jacket. the ratio of how wide it is to the length is not for me but might work well with other body types. the arms were definitely too short.,Jackets
1,Love love love. i tried it on a whim when returning a shipped item. it's gorgeous and incredibly flattering. runs large (it's drapey and would likely look good in your normal size since you can synch the waist  but probably best to size down as it seemed large in the bust size - which isn't an issue i usually run into).     it's quickly become a great staple for work. definitely pair it with bodycon pants/ leggings/ skinny jeans - and it looks unique and very professional.,Jackets
1,I love the soft  slouchy feel of this draped yet constructed jacket. don't expect a crisp fit. i'm not a fan of the menswear look so this jacket is the boho answer to a classic blazer. the one-button closure is easy to wear; the hem curves for a more feminine look. i hesitated before ordering (hoping it would turn up at my local retailer). by the time i was ready to order  the green version had sold out. as it turns out  the copper is even better. it was 86 degrees today  but i wore it anyway!,Jackets
1,I love this jacket! i was hesitant to order  but i'm so glad i did. it's such a cute  unique blazer to add to my wardrobe. fit is very true to size for a blazer.,Jackets
1,Purchased as a gift  but needed to return due to recipient weight challenged in past 6 months. heavier material of neutral tone ( with detailing of epaulets) pairs well with dresses  skirts  jeans  jeggings and whatever style of boots. veratile garment and will re-purchase for self in future.,Jackets
1,I love the look and design of this piece but the fit is awkward. the m gapes open and is much boxier than it looks on the model but the s is too tight in the elbows. i think i might have to return it :(,Jackets
1,Ooo la la! sooo chic! sooo retailer!!,Jackets
1,I tried this on at my local store and immediately had to buy it. the picture does not do it justice. it drapes wonderfully in front and sticks out a bit at the pockets to give some added personality. fabric is very soft and light weight. highly recommend!,Jackets
